 ;USA;Australia;UK;Hong Kong;Japan
31.12.1969;100;100;100;100;100
31.12.1970;100,927;78,896;90,171;138,801;84,422
31.12.1971;111,027;75,197;128,619;216,607;125,416
29.12.1972;125,796;88,549;129,341;556,862;277,376
31.12.1973;102,227;75,12;91,955;332,727;216,875
31.12.1974;70,678;47,164;42,003;136,013;178,192
31.12.1975;92,236;66,996;85,457;274,107;208,215
31.12.1976;109,482;57,532;70,458;373,015;255,495
30.12.1977;96,119;61,186;105,828;317,641;289,226
29.12.1978;96,508;70,945;114,886;360,918;434,091
31.12.1979;104,383;97,587;132,758;634,398;374,827
31.12.1980;128,466;145,018;175,724;1061,094;478,795
31.12.1981;116,52;105,754;147,732;863,679;545,076
31.12.1982;134,15;77,696;152,316;453,29;532,645
30.12.1983;156,432;116,232;170,253;414,188;655,431
31.12.1984;158,006;97,291;171,324;577,05;758,51
31.12.1985;201,05;113,069;250,668;842,129;1076,096
31.12.1986;228,021;156,591;305,674;1267,783;2132,274
31.12.1987;229,41;167,139;402,136;1176,764;3036,609
30.12.1988;256,104;221,305;411,476;1443,565;4094,576
29.12.1989;325,027;233,611;484,623;1492,002;4149,238
31.12.1990;306,85;184,613;513,634;1546,934;2637,604
31.12.1991;390,215;238,344;573,47;2208,632;2855,852
31.12.1992;406,462;206,798;531,98;2814,252;2225,159
31.12.1993;434,983;273,003;641,457;5907,268;2772,776
30.12.1994;431,264;281,004;611,077;4075,766;3347,371
29.12.1995;581,071;304,239;716,422;4818,413;3348,075
31.12.1996;705,16;345,059;883,481;6213,251;2812,892
31.12.1997;928,912;301,735;1052,094;4609,391;2133,16
31.12.1998;1196,343;313,187;1208,247;4259,022;2224,191
31.12.1999;1445,856;360,753;1325,936;6595,116;3571,063
29.12.2000;1249,864;317,651;1146,254;5475,329;2551,957
31.12.2001;1084,544;315,798;962,025;4314,404;1789,256
31.12.2002;824,583;303,917;791,076;3424,288;1593,175
31.12.2003;1045,407;441,066;1006,081;4536,123;2144,375
31.12.2004;1137,429;558,594;1162,443;5479,043;2460,103
30.12.2005;1180,64;628,657;1205,642;5741,667;3052,978
29.12.2006;1336,296;798,971;1521,541;7249,841;3208,285
31.12.2007;1390,914;998,799;1593,358;9966,94;3034,399
31.12.2008;854,353;476,41;787,715;4696,9;2108,161
31.12.2009;1061,131;804,078;1081,86;7289,788;2201,678
31.12.2010;1200,996;884,413;1137,762;8724,049;2495,834
30.12.2011;1199,646;753,142;1068,187;7119,434;2091,151
31.12.2012;1361,883;876,465;1183,478;8859,542;2211,545
31.12.2013;1768,418;873,937;1375,35;9576,806;2762,872
31.12.2014;1964,734;807,972;1255,145;9770,616;2606,136
31.12.2015;1949,703;694,315;1116,723;9446,619;2808,288
