"Per";"MICEX";"MICEXCBITR"
30.09.1997;100,16;
31.10.1997;86,46;
30.11.1997;67,94;
31.12.1997;85,05;
31.01.1998;62,21;
28.02.1998;73,38;
31.03.1998;76,35;
30.04.1998;75,66;
31.05.1998;46,01;
30.06.1998;35,89;
31.07.1998;37,46;
31.08.1998;20,92;
30.09.1998;27,02;
31.10.1998;32,94;
30.11.1998;50,41;
31.12.1998;45,34;
31.01.1999;44,51;
28.02.1999;62,44;
31.03.1999;86,56;
30.04.1999;96,6;
31.05.1999;107,87;
30.06.1999;131,64;
31.07.1999;114,88;
31.08.1999;100,72;
30.09.1999;87,13;
31.10.1999;106,86;
30.11.1999;120,76;
31.12.1999;151,87;
31.01.2000;188,81;
29.02.2000;191,49;
31.03.2000;254,68;
30.04.2000;242,85;
31.05.2000;217,05;
30.06.2000;194,93;
31.07.2000;200,22;
31.08.2000;239,03;
30.09.2000;204,61;
31.10.2000;192,22;
30.11.2000;149,84;
31.12.2000;144,39;
31.01.2001;167,74;
28.02.2001;158,1;
31.03.2001;166,67;
30.04.2001;178,29;
31.05.2001;207,71;
30.06.2001;219,4;
31.07.2001;200,64;
31.08.2001;193,72;
30.09.2001;167,33;
31.10.2001;187,41;
30.11.2001;213,32;
31.12.2001;237,63;
31.01.2002;260,77;
28.02.2002;262,65;
31.03.2002;302,96;
30.04.2002;343,33;
31.05.2002;333,61;
30.06.2002;304,18;
31.07.2002;281,81;
31.08.2002;292,23;
30.09.2002;289,96;
31.10.2002;311,41;
30.11.2002;321,4065;
31.12.2002;318,9063;
31.01.2003;307,782;100
28.02.2003;341,5213;102,25
31.03.2003;325,5564;107,56
30.04.2003;369,7732;109,7
31.05.2003;421,08;112,92
30.06.2003;455,44;113,04
31.07.2003;430,3;112,78
31.08.2003;484;112,09
30.09.2003;515,17;112,22
31.10.2003;468,85;112,32
30.11.2003;484,73;114,32
31.12.2003;514,71;114,98
31.01.2004;551,72;118,1
29.02.2004;591,09;121,03
31.03.2004;644,64;122,09
30.04.2004;561,78;123,6
31.05.2004;535,4;122,42
30.06.2004;534,84;121,55
31.07.2004;502,81;121,5
31.08.2004;549,28;121,69
30.09.2004;611,03;123,13
31.10.2004;632,97;124,14
30.11.2004;570,76;125,86
31.12.2004;552,22;125,33
31.01.2005;575,74;125,77
28.02.2005;635,38;126,89
31.03.2005;598,04;128,23
30.04.2005;593,88;128,65
31.05.2005;603,89;129,39
30.06.2005;639,98;130,11
31.07.2005;700,65;130,65
31.08.2005;784,28;131,55
30.09.2005;892,5;132,68
31.10.2005;842,52;133,89
30.11.2005;944,55;134,39
31.12.2005;1011;134,28
31.01.2006;1171,44;134,73
28.02.2006;1320,83;135,09
31.03.2006;1299,19;136,31
30.04.2006;1486,85;137,17
31.05.2006;1281,5;137,7
30.06.2006;1331,39;138,33
31.07.2006;1380,24;140,74
31.08.2006;1448,72;141,77
30.09.2006;1367,24;143,25
31.10.2006;1426,86;144,38
30.11.2006;1550,58;145,14
31.12.2006;1693,47;145,73
31.01.2007;1656,94;146,83
28.02.2007;1655,25;147,07
31.03.2007;1698,08;147,61
30.04.2007;1697,28;148,39
31.05.2007;1570,34;149,35
30.06.2007;1665,96;150,44
31.07.2007;1734,42;151,24
31.08.2007;1677,02;153,67
30.09.2007;1759,44;152,62
31.10.2007;1874,73;153
30.11.2007;1850,64;154,41
31.12.2007;1888,86;154,9
31.01.2008;1574,33;156,43
29.02.2008;1660,42;157,12
31.03.2008;1628,43;157,1
30.04.2008;1667,35;158,28
31.05.2008;1925,24;160,16
30.06.2008;1753,67;161,54
31.07.2008;1495,33;160,22
31.08.2008;1348,92;160,22
30.09.2008;1027,66;158,1
31.10.2008;731,96;153,42
30.11.2008;611,32;141,1
31.12.2008;619,53;140,34
31.01.2009;624,9;138,1
28.02.2009;666,05;134,72
31.03.2009;772,93;138,62
30.04.2009;920,35;144,75
31.05.2009;1123,38;149,06
30.06.2009;971,55;151,37
31.07.2009;1053,3;153,89
31.08.2009;1091,98;156,43
30.09.2009;1197,2;159,02
31.10.2009;1237,18;162,32
30.11.2009;1284,95;166,31
31.12.2009;1370,01;169,58
31.01.2010;1419,42;170,78
28.02.2010;1332,64;175
31.03.2010;1450,15;178,45
30.04.2010;1436,04;183,1
31.05.2010;1332,62;184,87
30.06.2010;1309,31;184,71
31.07.2010;1397,12;188,12
31.08.2010;1368,9;189,54
30.09.2010;1440,3;190,74
31.10.2010;1523,39;192,36
30.11.2010;1565,52;193,49
31.12.2010;1687,99;194,02
31.01.2011;1723,42;194,45
28.02.2011;1777,84;196,22
31.03.2011;1813,59;197,93
30.04.2011;1741,84;199,74
31.05.2011;1666,3;201,5
30.06.2011;1666,59;202,42
31.07.2011;1705,18;204,12
31.08.2011;1546,05;206,16
30.09.2011;1366,54;205,42
31.10.2011;1498,6;204,21
30.11.2011;1499,62;204,95
31.12.2011;1402,23;205,55
31.01.2012;1514,03;206,47
29.02.2012;1597,67;208,23
31.03.2012;1517,34;210,34
30.04.2012;1473,5;212,12
31.05.2012;1306,42;213,26
30.06.2012;1387,52;212,24
31.07.2012;1407,02;212,6
31.08.2012;1422,91;215,01
30.09.2012;1458,26;216,81
31.10.2012;1425,7;218,29
30.11.2012;1405,97;220,06
31.12.2012;1474,72;221,62
31.01.2013;1546,76;224,16
28.02.2013;1486,04;227,26
31.03.2013;1438,57;228,66
30.04.2013;1385,88;229,63
31.05.2013;1350,17;232,06
30.06.2013;1330,46;233,32
31.07.2013;1375,79;233,59
31.08.2013;1364,65;236,16
30.09.2013;1462,82;237,67
31.10.2013;1510,21;239,32
30.11.2013;1479,35;241,04
30.12.2013;1504,08;241,92
31.01.2014;1454,45;243,91
28.02.2014;1444,71;244,74
31.03.2014;1369,29;245,99
30.04.2014;1306,01;244,02
31.05.2014;1432,03;244,25
30.06.2014;1476,38;245,56
31.07.2014;1379,61;248,02
31.08.2014;1400,71;248,74
30.09.2014;1411,07;248,92
31.10.2014;1488,47;248,97
30.11.2014;1533,68;246,56
31.12.2014;1396,61;245,6
31.01.2015;1647,69;240,43
28.02.2015;1758,97;237,56
31.03.2015;1626,18;243,58
30.04.2015;1688,34;251,43
31.05.2015;1609,19;259,63
30.06.2015;1654,55;264,66
31.07.2015;1669;267,7
31.08.2015;1733,17;270,47
30.09.2015;1642,97;269,74
31.10.2015;1711,53;273,45
30.11.2015;1771,05;278,46
31.12.2015;1761,36;281,28
31.01.2016;1784,92;285,52
29.02.2016;1840,17;286,34
31.03.2016;1871,15;290,5
11.04.2016;1874,11;298,72
29.04.2016;1953,05;294,66
31.05.2016;1899,01;301,7
30.06.2016;1891,09;305,34
29.07.2016;1944,62;307,41
31.08.2016;1971,59;310,58
30.09.2016;1978;313,97
31.10.2016;1989,64;311,28
25.11.2016;2098,15;312,72
